protein	pval	beta	se	pval_fdr	dummy_ref	dummy_alt	sample_size	OID3072	OID3072_UniProt	OID3072_Assay
O60749	0.6444842309860274	1.6266126730148065	3.525093021082123	0.8142467295459282	A	G	300	OID31374	O60749	SNX2
O60760	0.3618633720649227	6.7430417708806605	7.395144054302995	0.617545228843842	A	G	300	OID21266	O60760	HPGDS
O60763	0.3488121216021322	3.2001407912678967	3.41568458020365	0.6068375266228876	A	G	300	OID21367	O60763	USO1
O60825	0.7277809167109304	1.0692266378080104	3.071793732120354	0.8642413370626606	A	G	300	OID21356	O60825	PFKFB2
O60828	0.8461687582863365	0.561325066405153	2.8932924947836782	0.9302442389741772	A	G	300	OID21172	O60828	PQBP1
O60869	0.5618321779074021	2.288280871923257	3.944480423520435	0.7687942558304411	A	G	300	OID31010	O60869	EDF1
O60880	0.8399685069301992	0.6276341033016485	3.1081186964811787	0.9265664685585768	A	G	300	OID20514	O60880	SH2D1A
O60884	0.185897825341339	5.133315133415498	3.880607521937757	0.43591105063536	A	G	300	OID20627	O60884	DNAJA2
O60890	0.9836379096393806	-0.052900439482551	2.5794678089306293	0.9917867911828204	A	G	300	OID31087	O60890	OPHN1
O60907	0.6795245835837407	1.5308182428571415	3.705577114036304	0.8350405168902425	A	G	300	OID21220	O60907	TBL1X
O60911	0.407319455725626	7.077676182193633	8.541522059786738	0.6524994197593147	A	G	300	OID21405	O60911	CTSV
O60934	0.8397265859705066	0.5573885235646537	2.7560306926721663	0.9265664685585768	A	G	300	OID20442	O60934	NBN
O60939	0.1301234813876761	-10.36275262725065	6.846359037668104	0.3555558468462073	A	G	300	OID30948	O60939	SCN2B
O60941	0.0198448566395537	12.349728356390472	5.301977603239735	0.1048224706042248	A	G	300	OID31395	O60941	DTNB
O75015	0.4652640830297798	6.283093998502091	8.604546234395894	0.7023443858036107	A	G	300	OID20387	O75015	FCGR3B
O75023	0.8859097391805083	-1.195778292625722	8.334010827552246	0.9475697201268404	A	G	300	OID20324	O75023	LILRB5
O75054	9.129780631107944e-07	34.104277087031264	6.946554956860998	2.469267520691324e-05	A	G	300	OID21312	O75054	IGSF3
O75061	0.0379847572322487	6.420188654601477	3.0940382225546474	0.1636481945064873	A	G	300	OID30247	O75061	DNAJC6
O75071	2.156445363155412e-05	53.09300712591477	12.498222824342198	0.0003817561761076	A	G	300	OID31460	O75071	EFCAB14
O75077	0.751029478226658	-4.180732820523501	13.17670120248697	0.8768014012390359	A	G	300	OID20651	O75077	ADAM23
O75121	0.2027480353018504	8.64639669802647	6.7880825935558935	0.4634014171492214	A	G	300	OID30933	O75121	MFAP3L
O75144	0.2160519258227748	-17.163777831139154	13.874263449998168	0.4799873729660311	A	G	300	OID21351	O75144	ICOSLG
O75146	0.3657763679129957	4.281845901613051	4.734391468837348	0.6197405862377382	A	G	300	OID31141	O75146	HIP1R
O75154	0.0429981946539889	5.26272372531149	2.6005100266560395	0.1773979189043807	A	G	300	OID30325	O75154	RAB11FIP3
O75167	0.0122548366109206	7.088081063124863	2.8298895962885653	0.0720249049104609	A	G	300	OID31009	O75167	PHACTR2
O75173	0.0029716711977147	25.41555028333505	8.555542614886566	0.0236519116308573	A	G	300	OID30471	O75173	ADAMTS4
O75190	0.0418489827330561	6.846168785830702	3.3641796487302225	0.1742506475222146	A	G	300	OID30613	O75190	DNAJB6
O75223	0.3730650389837994	3.9979725857566257	4.488338023808521	0.6269936123926233	A	G	300	OID30304	O75223	GGCT
O75293	0.4297447209605429	5.044931684661894	6.388993392407119	0.6734357993163873	A	G	300	OID31261	O75293	GADD45B
O75312	0.097195759681367	6.603642325828669	3.9814477584679286	0.2988513831887084	A	G	300	OID30801	O75312	ZPR1
O75326	0.0005897626303494	40.0019278409404	11.641058336869657	0.0059403332525882	A	G	300	OID20283	O75326	SEMA7A
O75330	0.9063459472318808	0.9715766736830465	8.258280445117919	0.9535927076531314	A	G	300	OID31175	O75330	HMMR
O75339	0.0011390554274038	17.501684349835752	5.378981130990928	0.0104289136908921	A	G	300	OID30399	O75339	CILP
O75340	0.0167277175394124	17.776225392261352	7.429549458820046	0.0920181976132271	A	G	300	OID20163	O75340	PDCD6
O75347	0.2910246504569463	3.2151237722120776	3.0449809516265605	0.5576186604422274	A	G	300	OID30616	O75347	TBCA
O75348	0.0850987159195341	7.164621263546926	4.161028943007807	0.2771163313277135	A	G	300	OID30242	O75348	ATP6V1G1
O75351	0.8703829153721261	0.5046095390423518	3.0924984772923136	0.9437683961920688	A	G	300	OID31386	O75351	VPS4B
O75354	0.7019030905640182	-6.3543552025775245	16.6017227227172	0.8482660022910621	A	G	300	OID20100	O75354	ENTPD6
O75356	0.0337383884639315	-41.55225357331921	19.57072134275232	0.1533354253643391	A	G	300	OID20104	O75356	ENTPD5
O75365	9.679530209183468e-06	32.23047012503217	7.285020723595764	0.0001936569023357	A	G	300	OID30469	O75365	PTP4A3
O75380	0.138671316798182	4.304425923306053	2.906908887683045	0.3676140605671307	A	G	300	OID21224	O75380	NDUFS6
O75409	0.6041247308352945	-2.796381917785993	5.393442611339318	0.790967431093633	A	G	300	OID31232	O75409	H2AP
O75427	0.1350297581363549	5.255353245272877	3.5163253749533685	0.3644098458260963	A	G	300	OID30191	O75427	LRCH4
O75460	0.0009308407967046	27.924157183705603	8.434679609147349	0.0088855750561246	A	G	300	OID31391	O75460	ERN1
O75462	0.1297575430808497	19.396790081719622	12.80266584297872	0.3555558468462073	A	G	300	OID20699	O75462	CRLF1
O75475	0.7196329636595442	-0.961003953008374	2.67726879338971	0.8595997558816829	A	G	300	OID20534	O75475	PSIP1
O75493	0.0728425082256784	-18.659506189271944	10.402128183720142	0.2506159794195602	A	G	300	OID21195	O75493	CA11
O75506	0.7180977524017534	-1.4577141951094912	4.037964103083527	0.8582502188074966	A	G	300	OID30232	O75506	HSBP1
O75509	0.4773807714614562	9.268566696683354	13.044736899863636	0.7092722448824585	A	G	300	OID21052	O75509	TNFRSF21
O75521	0.0463586445913612	9.12398481432062	4.580053507359475	0.186520111365518	A	G	300	OID30142	O75521	ECI2
O75528	0.056031651205085	7.523034735009812	3.937134441851375	0.2122807434112234	A	G	300	OID31422	O75528	TADA3
O75534	0.2807608122085108	2.982133948861369	2.7647888777834297	0.5470996213882988	A	G	300	OID30183	O75534	CSDE1
O75563	0.2837851371420631	3.0034856875623643	2.8021378957342966	0.5500573228878343	A	G	300	OID20761	O75563	SKAP2
O75569	0.1423845378749885	5.258801307577626	3.584807830176073	0.371343959940037	A	G	300	OID21225	O75569	PRKRA
O75592	0.4201016044319793	2.8055664974896466	3.479794039846424	0.6629480208243174	A	G	300	OID30996	O75592	MYCBP2
O75594	0.6701202907655845	3.547470749901949	8.327729989917438	0.8301193254140257	A	G	300	OID20338	O75594	PGLYRP1
O75629	7.896378683528735e-05	34.26283761899312	8.679577988992005	0.0011418476304251	A	G	300	OID21515	O75629	CREG1
O75631	0.5836754366517127	-2.8476885740328584	5.196284602785014	0.7777996431169021	A	G	300	OID30794	O75631	UPK3A
O75665	0.5744743027309227	-3.0592691275551327	5.448636893026017	0.7754341212001041	A	G	300	OID31268	O75665	OFD1
O75688	0.8256134276299217	1.666886867248958	7.565378188112372	0.9187577257846292	A	G	300	OID30548	O75688	PPM1B
O75695	0.0796523737848526	10.300093564168902	5.876678546681924	0.2656805496806591	A	G	300	OID21302	O75695	RP2
O75711	0.5290640455660012	-6.538195013581536	10.387396335548004	0.7476848535684387	A	G	300	OID30333	O75711	SCRG1
O75718	0.0738273890360263	17.575377429967705	9.831380068378254	0.252634647715071	A	G	300	OID30902	O75718	CRTAP
O75781	0.3005864657942937	11.30382515035794	10.91970746202545	0.5624852757430936	A	G	300	OID31515	O75781	PALM
O75787	0.2789010856012685	5.6690079195528895	5.235550125550144	0.5449298134055554	A	G	300	OID21178	O75787	ATP6AP2
O75791	0.4735460365321878	1.6895952348935177	2.3573948022743947	0.7068104101740013	A	G	300	OID20192	O75791	GRAP2
O75792	0.0017408485635561	18.063624784053253	5.768887370925161	0.0148251272715666	A	G	300	OID31027	O75792	RNASEH2A
O75794	0.9013025278757356	0.7212933537035413	5.816126747641443	0.9514984059617012	A	G	300	OID31242	O75794	CDC123
O75830	0.0275471926473102	19.476981406487845	8.838408299330101	0.1341368754157884	A	G	300	OID31504	O75830	SERPINI2
O75843	0.0098776806332705	9.333422092300534	3.617490238008038	0.0608706859278125	A	G	300	OID31348	O75843	AP1G2
O75882-2	1.875150428169528e-08	121.25106698460858	21.5628673632057	9.71860871318196e-07	A	G	300	OID30735	O75882-2	ATRN
O75888	0.167200200034816	16.728024001261737	12.11073223797608	0.4128417449718491	A	G	300	OID20733	O75888	TNFSF13
O75940	0.8257715684247048	-0.4957865230340038	2.2522660057309487	0.9187577257846292	A	G	300	OID31471	O75940	SMNDC1
O76036	0.6817766523704323	4.39023024476346	10.706835753817051	0.8356985319236394	A	G	300	OID20566	O76036	NCR1
O76038	0.9778383942751696	-0.1734448436086275	6.243733784915526	0.987302436805313	A	G	300	OID20457	O76038	SCGN
O76039	0.4881957892284528	-3.667750441268837	5.291185007647586	0.71722186465549	A	G	300	OID30796	O76039	CDKL5
O76061	0.8772888550020754	1.4689845383117897	9.513718833409534	0.9441919564793436	A	G	300	OID21157	O76061	STC2
O76070	0.0027986398829601	16.30815970000162	5.456002700003209	0.022458316203644	A	G	300	OID20971	O76070	SNCG
O76074	0.6462215855183426	1.4262836061432491	3.107253093757591	0.8146546926468023	A	G	300	OID30584	O76074	PDE5A
O76076	0.1366108788068284	12.132628672773905	8.150738958761794	0.365421590654529	A	G	300	OID21068	O76076	CCN5
O76096	0.1714087865535999	6.707285486479	4.904093826641396	0.41836266972711	A	G	300	OID20704	O76096	CST7
O77932	0.2699319219534724	5.43014977598241	4.922094409984086	0.5338577731014078	A	G	300	OID31080	O77932	DXO
O94760	0.0060578048355205	18.294953800436684	6.665712251111083	0.0413905430909344	A	G	300	OID21299	O94760	DDAH1
O94766	0.3121840466014214	-12.306801734406804	12.17711723560373	0.5745761785251295	A	G	300	OID30165	O94766	B3GAT3
O94779	0.1673420599713717	-13.832796325304864	10.017995601278413	0.4128430381557235	A	G	300	OID21006	O94779	CNTN5
O94813	0.1263367517243658	10.127824991331243	6.625086291630152	0.3494598975254474	A	G	300	OID20862	O94813	SLIT2
O94830	0.8467728324943856	0.8178360068178265	4.232280256651071	0.9305581052355532	A	G	300	OID31043	O94830	DDHD2
O94856	4.056914760351828e-06	51.93270621594454	11.269030046745645	9.04599085113564e-05	A	G	300	OID20634	O94856	NFASC
O94903	0.6319004805877284	1.6974513535267417	3.5433430996250035	0.8070753405320309	A	G	300	OID20144	O94903	PLPBP
O94907	0.0237271615634901	13.497643480256672	5.968398144099811	0.1205339807425296	A	G	300	OID21066	O94907	DKK1
O94916	0.5119684315072923	1.393978010925669	2.125693186955953	0.7352127224767715	A	G	300	OID30522	O94916	NFAT5
O94979	0.3826935912956012	3.938097528648801	4.511283015402628	0.6332171153892145	A	G	300	OID30269	O94979	SEC31A
O94985	0.6053180548200239	3.9238198428447513	7.592999422279273	0.7914655497445343	A	G	300	OID20874	O94985	CLSTN1
O94986	0.3107839536357057	4.318892939521863	4.261034769828061	0.5731060155112983	A	G	300	OID31249	O94986	CEP152
O94988	0.1542642684680928	5.177185773230038	3.634057153732429	0.3938863008700166	A	G	300	OID31463	O94988	FAM13A
O94992	0.3093756394116801	3.6264085254258775	3.567428221370593	0.5712302419225775	A	G	300	OID20589	O94992	HEXIM1
O95049	0.2743903939866251	6.832609616785567	6.251199566852311	0.539000901704729	A	G	300	OID30798	O95049	TJP3
O95157	0.2365577767796071	-11.890746494680968	10.045961383651456	0.4996824684538946	A	G	300	OID30565	O95157	NXPH3
O95166	0.5312965233274427	-4.371260389503909	6.98253085985616	0.7493354209414311	A	G	300	OID31414	O95166	GABARAP
O95180	0.4555468892959204	-3.498434049705088	4.6883358779655495	0.6941327405494958	A	G	300	OID30064	O95180	CACNA1H
O95183	0.0435497957125201	12.14844213603083	6.018852721925969	0.1787345374885345	A	G	300	OID20071	O95183	VAMP5
O95196	0.021039432041634	-15.34167877719372	6.649259991284813	0.1097431803457373	A	G	300	OID30843	O95196	CSPG5
O95202	0.4524161192589071	3.391754721979184	4.5139551598876455	0.6915266794114431	A	G	300	OID31018	O95202	LETM1
O95256	0.2985387861196941	-2.8032732296260074	2.6965647405093334	0.5610931038872883	A	G	300	OID20900	O95256	IL18RAP
O95274	0.0071814695848867	31.879035149163563	11.858392585339423	0.04724565913841	A	G	300	OID21530	O95274	LYPD3
O95295	0.0012207701512632	16.14375880218394	4.991913138414138	0.0110299394965524	A	G	300	OID31019	O95295	SNAPIN
O95372	0.4988812508000123	-2.0035626300669858	2.962749648980128	0.7247842680644576	A	G	300	OID30817	O95372	LYPLA2
O95379	0.3620272091388865	4.008811037740645	4.397993582319059	0.617545228843842	A	G	300	OID20433	O95379	TNFAIP8
O95388	0.0151465687482218	23.13713333436745	9.525940741943923	0.0852468734365238	A	G	300	OID21444	O95388	CCN4
O95393	0.0889474823115521	23.4957734648721	13.813112358869091	0.2848855217456619	A	G	300	OID30575	O95393	BMP10
O95407	5.7134991546075625e-05	26.43903741648556	6.569780001424278	0.0008647218150574	A	G	300	OID20964	O95407	TNFRSF6B
O95429	0.0341804688554329	10.332459881703247	4.878550988059024	0.1543139869037395	A	G	300	OID30474	O95429	BAG4
O95433	0.7757135954702049	1.6174511219088437	5.677072879835607	0.8920706347907357	A	G	300	OID31379	O95433	AHSA1
O95445	0.0080471500919277	29.75443215690487	11.227727091037517	0.0518579259868139	A	G	300	OID20374	O95445	APOM
O95466	0.835303929154279	-0.6252079645750823	3.007195519236335	0.9231641229888948	A	G	300	OID20884	O95466	FMNL1
O95467	0.2608635693124778	-4.626520266803891	4.114831246398672	0.5258270057067925	A	G	300	OID31008	O95467	GNAS
O95497	3.5829260116646263e-08	34.92425408572559	6.338034584333677	1.610111827703442e-06	A	G	300	OID30711	O95497	VNN1
O95498	0.0418774236770266	15.948927593815556	7.8383269507799	0.1742506475222146	A	G	300	OID21310	O95498	VNN2
O95502	0.0796768783020395	-14.06885741305509	8.027585615516	0.2656805496806591	A	G	300	OID20191	O95502	NPTXR
O95544	0.8919854924558875	0.6458611643146744	4.756243534875003	0.9496244123448184	A	G	300	OID20178	O95544	NADK
O95630	0.5872717692409262	2.200398872843603	4.05383921991463	0.7790285367632813	A	G	300	OID20955	O95630	STAMBP
O95633	0.2667076154597562	10.164841632961734	9.151937143156436	0.5296077122759673	A	G	300	OID20782	O95633	FSTL3
O95644	0.3808872045113429	2.4644619194303723	2.812469078280696	0.6325042261728022	A	G	300	OID20545	O95644	NFATC1
O95670	0.7568736679735467	1.3176397571410063	4.256096218588856	0.8790568525450219	A	G	300	OID30167	O95670	ATP6V1G2
O95684	0.4572212095511594	2.528293187097597	3.4008476790255453	0.6948715676893531	A	G	300	OID20084	O95684	CEP43
O95696	0.150681971511666	-9.769922425313815	6.79823278150353	0.3871082135317295	A	G	300	OID31259	O95696	BRD1
O95715	0.6178008581848644	-2.431960767566067	4.873966603971996	0.7998417848523984	A	G	300	OID20458	O95715	CXCL14
O95721	0.0696439943101545	5.400715532935262	2.976881573217108	0.243625610653499	A	G	300	OID21506	O95721	SNAP29
O95727	0.5511679312215287	-5.432996202233581	9.11559841196754	0.7630149417526471	A	G	300	OID20914	O95727	CRTAM
O95750	0.382080777938251	3.692267890320948	4.224230194943552	0.6326859140349383	A	G	300	OID20715	O95750	FGF19
O95760	0.7902715882373164	-2.407082059527322	9.050611164044822	0.8997349622163051	A	G	300	OID20428	O95760	IL33
O95777	0.258694156829406	-5.200301953634303	4.604143816609927	0.5242931882051577	A	G	300	OID31269	O95777	LSM8
O95786	0.652734883018089	1.868769848443277	4.153134736069103	0.8197338492772995	A	G	300	OID21226	O95786	DDX58
O95793	6.00423056933847e-05	17.06551319376264	4.252934257388277	0.0008902719539613	A	G	300	OID31210	O95793	STAU1
O95817	0.7382372457616989	2.685486276482518	8.035840466859872	0.868811843219147	A	G	300	OID20972	O95817	BAG3
O95825	0.7911774627262821	0.7903453335133268	2.9848915743866256	0.8997349622163051	A	G	300	OID30272	O95825	CRYZL1
O95831	0.0450024121752598	5.738932039983108	2.8628358147492534	0.1827229713028266	A	G	300	OID21287	O95831	AIFM1
O95835	0.0172932291779358	7.650812935636944	3.214069121005972	0.0940661497742094	A	G	300	OID30523	O95835	LATS1
O95841	0.8445768924433876	2.609332100071448	13.310032016820392	0.9298858307523048	A	G	300	OID20211	O95841	ANGPTL1
O95858	0.7357219702991586	-1.7879895600268552	5.2973711250878	0.8684415660155943	A	G	300	OID30095	O95858	TSPAN15
O95866	0.8983458060451172	-0.4722094584674307	3.696318770301053	0.9512107113556144	A	G	300	OID20779	O95866	MPIG6B
O95954	1.4500238332557216e-08	18.160671088129924	3.2044241700937706	7.843554846185116e-07	A	G	300	OID31137	O95954	FTCD
O95965	0.7884832493803036	-2.1903907358909	8.16454784963613	0.899671707593698	A	G	300	OID30408	O95965	ITGBL1
O95971	0.1358301101642864	13.27933006081808	8.903335296935213	0.3646688895127578	A	G	300	OID20647	O95971	CD160
O95980	0.8458014421437505	3.3599364759647328	17.276671624903727	0.9301905167552316	A	G	300	OID30234	O95980	RECK
O95988	0.3467446238863754	3.276986407314457	3.482738196424729	0.6046812217146881	A	G	300	OID20058	O95988	TCL1B
O95994	0.6419057610587364	1.5600162543561116	3.354614806082658	0.8125884064247079	A	G	300	OID20896	O95994	AGR2
O95997	0.0308780662789766	13.726913454476032	6.359054831455695	0.1445429993604016	A	G	300	OID31326	O95997	PTTG1
O95998	0.0548535132665022	23.070581242306123	12.015710411799422	0.2100372140748178	A	G	300	OID20348	O95998	IL18BP
O96007	0.2348683288865386	5.620576285467179	4.731477800193964	0.4983017086088487	A	G	300	OID30638	O96007	MOCS2
O96013	0.000290669541524	13.479889622507775	3.72015365613036	0.0034235714951274	A	G	300	OID20819	O96013	PAK4
O96017	0.2918370099259838	-4.565460819723381	4.331144697102881	0.5576186604422274	A	G	300	OID20054	O96017	CHEK2
P00167	0.8901942779717671	-0.6127310050778282	4.438202166159289	0.9489990824655226	A	G	300	OID31171	P00167	CYB5A
P00325	2.032909531269336e-06	17.33831117169414	3.650074722192396	4.810511348528628e-05	A	G	300	OID30612	P00325	ADH1B
P00352	8.140960306424455e-08	27.14656358522529	5.060902996322588	3.257499322611758e-06	A	G	300	OID21128	P00352	ALDH1A1
P00390	0.1795807616744188	16.315862880103914	12.157445349913877	0.4276931909127393	A	G	300	OID30700	P00390	GSR
P00441	0.1163845891456205	8.581372688806457	5.465385718140333	0.3328940422541094	A	G	300	OID20386	P00441	SOD1
P00519	0.0079324507513066	9.98843057904426	3.762217768392608	0.051376249766223	A	G	300	OID21280	P00519	ABL1
P00533	0.033556015631055	40.04018211256363	18.839186491358653	0.1533354253643391	A	G	300	OID20319	P00533	EGFR
P00568	0.083737818878463	7.52078730773199	4.34878821051028	0.2742131938833974	A	G	300	OID20122	P00568	AK1
P00734	4.4294345503765147e-07	115.11420630556178	22.797101809561703	1.3384546114592458e-05	A	G	300	OID30723	P00734	F2
P00736	0.0252450664164932	40.16358897846705	17.949148886454438	0.1254095901404364	A	G	300	OID30753	P00736	C1R
P00740	1.525203117026226e-06	81.01219512352395	16.849791621122932	3.775523987147124e-05	A	G	300	OID20349	P00740	F9
P00742	4.393390136326501e-09	95.96650118336343	16.352378351705937	2.916611951865843e-07	A	G	300	OID30684	P00742	F10
P00746	0.1394970504922414	23.560279404175976	15.944246232566272	0.3683288220392589	A	G	300	OID30738	P00746	CFD
P00747	4.779951657744664e-06	85.55292489653122	18.703277673239764	0.0001049792390396	A	G	300	OID30785	P00747	PLG
P00748	0.0251032430695439	22.807564562047887	10.182810972907491	0.1253415280042158	A	G	300	OID30739	P00748	F12
P00749	0.5277973784483092	7.102293964353099	11.24898630195653	0.7474534305301588	A	G	300	OID21124	P00749	PLAU
P00750	0.0039342132464476	17.89335125466771	6.2056668416774405	0.0296946689738331	A	G	300	OID20247	P00750	PLAT
P00751	0.0047081890201396	35.32598630043192	12.498804073409604	0.0339570867353772	A	G	300	OID30755	P00751	CFB
P00797	0.3727191273342696	4.587736237146497	5.1467124921022895	0.6267775307676462	A	G	300	OID20201	P00797	REN
P00813	0.2224506207572312	10.5401979926138	8.639240277454084	0.4867498948099975	A	G	300	OID20645	P00813	ADA
P00915	0.0001342743403551	19.764576162177967	5.176027090423912	0.0017354661423771	A	G	300	OID20409	P00915	CA1
P00918	0.0074430257243491	11.694568422990873	4.369606231377277	0.0485291922786243	A	G	300	OID21149	P00918	CA2
P00966	0.0001861927958801	16.060574283266796	4.297662442605196	0.002266121486524	A	G	300	OID30170	P00966	ASS1
P00995	0.5847914033014492	4.439245051111162	8.124541909595926	0.7782121590175549	A	G	300	OID21097	P00995	SPINK1
P01008	0.0196482425667551	56.57652932130592	24.25056761931545	0.1041963621243017	A	G	300	OID30789	P01008	SERPINC1
P01009	0.7062907345882362	-17.091457743529208	45.35439240367816	0.8504019932944097	A	G	300	OID30750	P01009	SERPINA1
P01011	0.5609141238538385	-13.85297701731166	23.82347723559204	0.7687942558304411	A	G	300	OID30786	P01011	SERPINA3
P01019	0.9926918939398136	0.0982701978496131	10.72879575931548	0.9971267801410644	A	G	300	OID30709	P01019	AGT
P01024	0.0045235758793804	13.155816626425734	4.6337381895663965	0.0327875065599755	A	G	300	OID30776	P01024	C3
P01031	0.6809609251448712	5.6665154221862295	13.78203795143418	0.8355853832389831	A	G	300	OID30744	P01031	C5
P01033	0.1086294783390924	18.18748073251553	11.33611587494864	0.3202272739164193	A	G	300	OID20418	P01033	TIMP1
P01034	0.006138100627223	32.08090735914539	11.707030031890838	0.041696260307252	A	G	300	OID20400	P01034	CST3
P01037	0.852265309275792	-0.8181922050786065	4.393477452104707	0.9331165031506023	A	G	300	OID30581	P01037	CST1
P01100	0.7502732897068795	2.41246894512219	7.579729480960332	0.8762688041718492	A	G	300	OID31221	P01100	FOS
P01112	0.4197657613008543	3.153469484346642	3.908479477970603	0.6627761020323218	A	G	300	OID31263	P01112	HRAS
P01127	0.2349975874762113	4.759032831831294	4.007325209607744	0.4983017086088487	A	G	300	OID20741	P01127	PDGFB
P01130	2.1027267656778305e-51	95.68593329873926	6.344057484945053	6.142064882544943e-48	A	G	300	OID20240	P01130	LDLR
P01133	0.5735659156217064	1.6786980991481564	2.9827211777569844	0.7753226155565435	A	G	300	OID20698	P01133	EGF
P01135	0.0474797835624267	18.33477093693523	9.250663879957536	0.1902447843427275	A	G	300	OID20600	P01135	TGFA
P01137	0.0010348231910577	29.302840937142463	8.931386036083154	0.0096329133511325	A	G	300	OID20621	P01137	TGFB1
P01138	0.6778805096688192	10.760815746697771	25.90738391036116	0.8337216710495245	A	G	300	OID20920	P01138	NGF
P01178	3.26492747000676e-08	17.07086658146431	3.0888540615432656	1.490133303107773e-06	A	G	300	OID21047	P01178	OXT
P01189	0.0026518747203744	12.5245364594629	4.167273792299548	0.0215769528083944	A	G	300	OID30282	P01189	POMC
P01210	0.1655408720818231	15.446320987112356	11.13910645046452	0.4104795308582388	A	G	300	OID30666	P01210	PENK
P01215	0.8065706903348864	1.2360733337712335	5.048237818461811	0.909298721137863	A	G	300	OID21069	P01215	CGA
P01222	0.6023036937573683	2.2153057588807927	4.251287533815387	0.790354487630401	A	G	300	OID20129	P01222	TSHB
P01225	0.2853384075188889	6.738779511083665	6.307333954791134	0.5505108905962183	A	G	300	OID30233	P01225	FSHB
P01229	0.4706522276925818	-3.11820445779832	4.32232550499599	0.7054850789404948	A	G	300	OID21248	P01229	LHB
P01236	0.0624990837269652	-9.953350792611726	5.343397074255248	0.2265194456462123	A	G	300	OID21033	P01236	PRL
P01241	0.0005458860362854	-7.900429535431312	2.285232120946944	0.005576829616962	A	G	300	OID20220	P01241	GH1
P01242	0.5804149750928806	-1.2339458865491852	2.232260306925832	0.7773462367016527	A	G	300	OID21168	P01242	GH2
P01258	1.0613328491336588e-05	28.60799664605792	6.495491531525915	0.0002061753504973	A	G	300	OID20983	P01258	CALCA
P01266	0.2727570950004286	4.530820860247007	4.131188828267908	0.5376001852201431	A	G	300	OID31359	P01266	TG
P01270	8.539538050825757e-14	31.88341609378042	4.272926911955003	2.2676355133147288e-11	A	G	300	OID30963	P01270	PTH
P01275	6.309445721282161e-18	27.28322422235601	3.162613742329059	3.6859781903730384e-15	A	G	300	OID21263	P01275	GCG
P01298	0.0675322952622661	8.530175998640054	4.666104720789023	0.2390756307735644	A	G	300	OID21516	P01298	PPY
P01303	5.605566514759133e-14	36.63159353310517	4.873179103559109	1.6373859789611428e-11	A	G	300	OID21388	P01303	NPY
P01350	0.2847246044946085	3.180545197101356	2.973122063096401	0.5505108905962183	A	G	300	OID31083	P01350	GAST
P01374	0.6016614308251815	4.9904381929682256	9.559992326310816	0.7898665345799349	A	G	300	OID20586	P01374	LTA
P01375	0.2898967845424404	5.0062020189513055	4.730203752762519	0.5564653613073638	A	G	300	OID21237	P01375	TNF
P01579	0.1796570802358358	4.745159928255584	3.5363830667541074	0.4276931909127393	A	G	300	OID20495	P01579	IFNG
P01583	0.6962364396520544	2.099983692225785	5.378975556754615	0.8438616764413489	A	G	300	OID20488	P01583	IL1A
P01584	0.1733603469401575	6.188518031381411	4.545416402533276	0.4216366139985013	A	G	300	OID20427	P01584	IL1B
P01588	0.8138372147597601	0.9864005764779388	4.188916481048036	0.9118598021915072	A	G	300	OID20522	P01588	EPO
P01589	0.4816127913366141	6.8833160024958575	9.781453408375842	0.7130212688769639	A	G	300	OID20267	P01589	IL2RA
P01591	0.0849199318158664	18.815949938816644	10.921559167295918	0.2768427687881091	A	G	300	OID20494	P01591	JCHAIN
P01730	6.88707135304371e-07	64.26378102857264	12.944607671261869	1.934339944446219e-05	A	G	300	OID20584	P01730	CD4
P01732	0.3053419538138382	6.168096552440725	6.017390978818529	0.5666479333482982	A	G	300	OID21018	P01732	CD8A
P01833	5.768595009072333e-05	43.6214986844232	10.845501892539144	0.000868560104201	A	G	300	OID21102	P01833	PIGR
P01903	0.3524271485272814	5.189195692537511	5.580430021943635	0.6077654348184378	A	G	300	OID20520	P01903	HLA-DRA
P02008	0.0141169812896511	11.651134996543744	4.747285899025618	0.0806960906987688	A	G	300	OID30307	P02008	HBZ
P02144	0.0321364522839625	-15.416431418816355	7.194831230396292	0.1487647814920039	A	G	300	OID20263	P02144	MB
P02452	0.3736324352284111	-6.4185462790247145	7.21436367947223	0.6270532033086079	A	G	300	OID20335	P02452	COL1A1
P02458	0.0742179370719815	9.202713690221929	5.15480938659231	0.2527273237777793	A	G	300	OID30286	P02458	COL2A1
P02461	0.0780948792546434	22.72412839824356	12.89788933672156	0.2625030406246414	A	G	300	OID30379	P02461	COL3A1
P02462	0.0005402681367032	-27.56550267508833	7.967014739352178	0.005556771927148	A	G	300	OID20208	P02462	COL4A1
P02533	0.301589805099927	8.732438258144414	8.453227180577494	0.563113184315062	A	G	300	OID20800	P02533	KRT14
P02647	0.0062095396739562	35.45634062111406	12.956790922879977	0.0420836783935639	A	G	300	OID30769	P02647	APOA1
P02649	4.723464610402132e-16	61.58597412648686	7.585968765884609	1.724655015873079e-13	A	G	300	OID30727	P02649	APOE
P02652	0.3111122340041126	-6.048194979374815	5.971220060193797	0.5733494230448031	A	G	300	OID30686	P02652	APOA2
P02654	4.58179784659578e-11	61.9047268503183	9.402400669581128	6.083377959048306e-09	A	G	300	OID30749	P02654	APOC1
P02671	0.2771492824861398	8.293529748600156	7.631528682232485	0.5425347324019004	A	G	300	OID30788	P02671	FGA
P02730	0.0004561454817428	18.065537522538925	5.153822864535554	0.004934818341373	A	G	300	OID30369	P02730	SLC4A1
